x,y,_index
6630,4950,18683107741020
5820,4950,18683107741830
5220,4950,18683107742430
4620,4950,18683107743030
3870,4950,18683107743780
3270,4950,18683107744380
2670,4950,18683107744980
2070,4950,18683107745580
1350,4950,18683107746300
750,4950,18683107746900
150,4950,18683107747500
6690,4920,18811956759840
5910,4920,18811956760620
5310,4920,18811956761220
4710,4920,18811956761820
3930,4920,18811956762600
3330,4920,18811956763200
2730,4920,18811956763800
2130,4920,18811956764400
1380,4920,18811956765150
780,4920,18811956765750
180,4920,18811956766350
6750,4890,18940805778660
5970,4890,18940805779440
5370,4890,18940805780040
4770,4890,18940805780640
4020,4890,18940805781390
3360,4890,18940805782050
2760,4890,18940805782650
2160,4890,18940805783250
1410,4890,18940805784000
810,4890,18940805784600
210,4890,18940805785200
6780,4860,19069654797510
6000,4860,19069654798290
5400,4860,19069654798890
4770,4860,19069654799520
4050,4860,19069654800240
3330,4860,19069654800960
2730,4860,19069654801560
2130,4860,19069654802160
1410,4860,19069654802880
810,4860,19069654803480
210,4860,19069654804080
6780,4830,19198503816390
6030,4830,19198503817140
5430,4830,19198503817740
4770,4830,19198503818400
4080,4830,19198503819090
3300,4830,19198503819870
2700,4830,19198503820470
2100,4830,19198503821070
1380,4830,19198503821790
780,4830,19198503822390
180,4830,19198503822990
6750,4800,19327352835300
6000,4800,19327352836050
5400,4800,19327352836650
4740,4800,19327352837310
4050,4800,19327352838000
3240,4800,19327352838810
2640,4800,19327352839410
2040,4800,19327352840010
1320,4800,19327352840730
720,4800,19327352841330
120,4800,19327352841930
6690,4770,19456201854240
5940,4770,19456201854990
5250,4770,19456201855680
4590,4770,19456201856340
3630,4770,19456201857300
3030,4770,19456201857900
2430,4770,19456201858500
1830,4770,19456201859100
1140,4770,19456201859790
540,4770,19456201860390
7110,4740,19585050872700
6510,4740,19585050873300
5790,4740,19585050874020
4890,4740,19585050874920
4200,4740,19585050875610
3390,4740,19585050876420
2790,4740,19585050877020
2190,4740,19585050877620
1500,4740,19585050878310
900,4740,19585050878910
300,4740,19585050879510
6900,4710,19713899891790
6240,4710,19713899892450
5520,4710,19713899893170
4680,4710,19713899894010
3930,4710,19713899894760
3150,4710,19713899895540
2550,4710,19713899896140
1950,4710,19713899896740
1230,4710,19713899897460
630,4710,19713899898060
7230,4680,19842748910340
6630,4680,19842748910940
6030,4680,19842748911540
5010,4680,19842748912560
4410,4680,19842748913160
3450,4680,19842748914120
2850,4680,19842748914720
2250,4680,19842748915320
1650,4680,19842748915920
930,4680,19842748916640
330,4680,19842748917240
6930,4650,19971597929520
6330,4650,19971597930120
5580,4650,19971597930870
4680,4650,19971597931770
3960,4650,19971597932490
3270,4650,19971597933180
2670,4650,19971597933780
2070,4650,19971597934380
1380,4650,19971597935070
780,4650,19971597935670
180,4650,19971597936270
6780,4620,20100446948550
6180,4620,20100446949150
5430,4620,20100446949900
4530,4620,20100446950800
3780,4620,20100446951550
3120,4620,20100446952210
2520,4620,20100446952810
1920,4620,20100446953410
1230,4620,20100446954100
630,4620,20100446954700
7260,4590,20229295966950
6660,4590,20229295967550
6060,4590,20229295968150
4980,4590,20229295969230
4290,4590,20229295969920
3690,4590,20229295970520
3030,4590,20229295971180
2430,4590,20229295971780
1830,4590,20229295972380
1140,4590,20229295973070
540,4590,20229295973670
7170,4560,20358144985920
6570,4560,20358144986520
5970,4560,20358144987120
4830,4560,20358144988260
4080,4560,20358144989010
3390,4560,20358144989700
2790,4560,20358144990300
2100,4560,20358144990990
1410,4560,20358144991680
810,4560,20358144992280
210,4560,20358144992880
6870,4530,20486994005100
6270,4530,20486994005700
5460,4530,20486994006510
4560,4530,20486994007410
3810,4530,20486994008160
3090,4530,20486994008880
2490,4530,20486994009480
1740,4530,20486994010230
1020,4530,20486994010950
420,4530,20486994011550
7080,4500,20615843023770
6480,4500,20615843024370
5880,4500,20615843024970
4770,4500,20615843026080
3960,4500,20615843026890
3240,4500,20615843027610
2640,4500,20615843028210
1920,4500,20615843028930
1230,4500,20615843029620
630,4500,20615843030220
30,4500,20615843030820
6690,4470,20744692043040
6090,4470,20744692043640
5010,4470,20744692044720
4200,4470,20744692045530
3600,4470,20744692046130
2910,4470,20744692046820
2310,4470,20744692047420
1620,4470,20744692048110
930,4470,20744692048800
330,4470,20744692049400
6990,4440,20873541061620
6390,4440,20873541062220
5610,4440,20873541063000
4710,4440,20873541063900
3810,4440,20873541064800
3090,4440,20873541065520
2490,4440,20873541066120
1860,4440,20873541066750
1200,4440,20873541067410
600,4440,20873541068010
7260,4410,21002390080230
6660,4410,21002390080830
6060,4410,21002390081430
5010,4410,21002390082480
4260,4410,21002390083230
3390,4410,21002390084100
2790,4410,21002390084700
2190,4410,21002390085300
1590,4410,21002390085900
930,4410,21002390086560
330,4410,21002390087160
6990,4380,21131239099380
6390,4380,21131239099980
5640,4380,21131239100730
4740,4380,21131239101630
3810,4380,21131239102560
3120,4380,21131239103250
2520,4380,21131239103850
1920,4380,21131239104450
1260,4380,21131239105110
660,4380,21131239105710
60,4380,21131239106310
6720,4350,21260088118530
6120,4350,21260088119130
5040,4350,21260088120210
4290,4350,21260088120960
3390,4350,21260088121860
2790,4350,21260088122460
2190,4350,21260088123060
1530,4350,21260088123720
930,4350,21260088124320
330,4350,21260088124920
6990,4320,21388937137140
6390,4320,21388937137740
5640,4320,21388937138490
4740,4320,21388937139390
3750,4320,21388937140380
2940,4320,21388937141190
2340,4320,21388937141790
1740,4320,21388937142390
1080,4320,21388937143050
480,4320,21388937143650
7110,4290,21517786155900
6510,4290,21517786156500
5910,4290,21517786157100
4770,4290,21517786158240
3780,4290,21517786159230
3000,4290,21517786160010
2400,4290,21517786160610
1800,4290,21517786161210
1140,4290,21517786161870
540,4290,21517786162470
7170,4260,21646635174720
6570,4260,21646635175320
5970,4260,21646635175920
4860,4260,21646635177030
3840,4260,21646635178050
3030,4260,21646635178860
2430,4260,21646635179460
1830,4260,21646635180060
1200,4260,21646635180690
600,4260,21646635181290
0,4260,21646635181890
6630,4230,21775484194140
6030,4230,21775484194740
4890,4230,21775484195880
3840,4230,21775484196930
3000,4230,21775484197770
2400,4230,21775484198370
1800,4230,21775484198970
1200,4230,21775484199570
600,4230,21775484200170
0,4230,21775484200770
6630,4200,21904333213020
6030,4200,21904333213620
4860,4200,21904333214790
3510,4200,21904333216140
2910,4200,21904333216740
2310,4200,21904333217340
1710,4200,21904333217940
1110,4200,21904333218540
510,4200,21904333219140
7110,4170,22033182231420
6510,4170,22033182232020
5910,4170,22033182232620
4740,4170,22033182233790
3360,4170,22033182235170
2760,4170,22033182235770
2160,4170,22033182236370
1560,4170,22033182236970
960,4170,22033182237570
360,4170,22033182238170
6960,4140,22162031250450
6360,4140,22162031251050
5670,4140,22162031251740
4260,4140,22162031253150
3210,4140,22162031254200
2610,4140,22162031254800
2010,4140,22162031255400
1410,4140,22162031256000
810,4140,22162031256600
210,4140,22162031257200
6810,4110,22290880269480
6210,4110,22290880270080
5550,4110,22290880270740
3900,4110,22290880272390
3060,4110,22290880273230
2460,4110,22290880273830
1860,4110,22290880274430
1260,4110,22290880275030
660,4110,22290880275630
60,4110,22290880276230
6660,4080,22419729288510
6000,4080,22419729289170
5400,4080,22419729289770
3900,4080,22419729291270
3060,4080,22419729292110
2460,4080,22419729292710
1860,4080,22419729293310
1260,4080,22419729293910
660,4080,22419729294510
60,4080,22419729295110
6660,4050,22548578307390
5970,4050,22548578308080
5370,4050,22548578308680
4020,4050,22548578310030
3180,4050,22548578310870
2580,4050,22548578311470
1980,4050,22548578312070
1380,4050,22548578312670
780,4050,22548578313270
180,4050,22548578313870
6780,4020,22677427326150
6180,4020,22677427326750
5520,4020,22677427327410
4920,4020,22677427328010
3480,4020,22677427329450
2880,4020,22677427330050
2280,4020,22677427330650
1680,4020,22677427331250
1080,4020,22677427331850
480,4020,22677427332450
7080,3990,22806276344730
6480,3990,22806276345330
5880,3990,22806276345930
5280,3990,22806276346530
4260,3990,22806276347550
3210,3990,22806276348600
2610,3990,22806276349200
2010,3990,22806276349800
1410,3990,22806276350400
810,3990,22806276351000
210,3990,22806276351600
6810,3960,22935125363880
6210,3960,22935125364480
5610,3960,22935125365080
5010,3960,22935125365680
3600,3960,22935125367090
3000,3960,22935125367690
2400,3960,22935125368290
1800,3960,22935125368890
1200,3960,22935125369490
600,3960,22935125370090
7200,3930,23063974382370
6600,3930,23063974382970
6000,3930,23063974383570
5400,3930,23063974384170
4800,3930,23063974384770
3510,3930,23063974386060
2910,3930,23063974386660
2310,3930,23063974387260
1710,3930,23063974387860
1110,3930,23063974388460
510,3930,23063974389060
7080,3900,23192823401370
6480,3900,23192823401970
5880,3900,23192823402570
5280,3900,23192823403170
4680,3900,23192823403770
3330,3900,23192823405120
2730,3900,23192823405720
2130,3900,23192823406320
1530,3900,23192823406920
930,3900,23192823407520
330,3900,23192823408120
